,Unnamed: 0,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Car Time Adjusted,Bike Time,Car/Bike Delta,Car/Bus Delta,Bike/Bus Delta
41,41,59170098,DA,59170098,2.2321,459,170,166,459,-123.409709,48.502031,1655823271,1655824201,1655824089,1655822886,20.05,13.63333333,6.416666667
42,42,59170100,DA,59170100,0.2577,630,221,215,630,-123.399901,48.486001,1655821851,1655824378,1655824198,1655823363,13.91666667,39.11666667,-25.2
43,43,59170101,DA,59170101,0.3993,970,351,340,970,-123.40305,48.481535,1655822318,1655824324,1655824141,1655822901,20.66666667,30.38333333,-9.716666667
44,44,59170102,DA,59170102,0.3608,800,300,290,800,-123.395961,48.478797,1655822513,1655824388,1655824232,1655823439,13.21666667,28.65,-15.43333333
45,45,59170103,DA,59170103,0.3787,871,307,301,871,-123.395715,48.485992,1655822479,1655824410,1655824291,1655823381,15.16666667,30.2,-15.03333333
46,46,59170104,DA,59170104,0.2392,280,114,110,280,-123.389512,48.486164,1655822514,1655824415,1655824301,1655823354,15.78333333,29.78333333,-14
47,47,59170105,DA,59170105,0.2379,625,228,220,625,-123.383647,48.483816,1655823074,1655824509,1655824411,1655823640,12.85,22.28333333,-9.433333333
48,48,59170106,DA,59170106,0.2064,621,228,218,621,-123.381798,48.480204,1655823396,1655824534,1655824440,1655823763,11.28333333,17.4,-6.116666667
49,49,59170111,DA,59170111,0.2146,450,164,158,450,-123.370731,48.478207,1655823537,1655824560,1655824465,1655824082,6.383333333,15.46666667,-9.083333333
50,50,59170112,DA,59170112,0.151,445,178,166,445,-123.369493,48.475018,1655823791,1655824680,1655824593,1655824134,7.65,13.36666667,-5.716666667
51,51,59170113,DA,59170113,0.1851,476,218,210,476,-123.365089,48.472467,1655823922,1655824637,1655824550,1655824203,5.783333333,10.46666667,-4.683333333
52,52,59170114,DA,59170114,0.141,1163,675,646,1163,-123.368985,48.470746,1655823905,1655824651,1655824571,1655824168,6.716666667,11.1,-4.383333333
53,53,59170115,DA,59170115,0.1814,655,344,321,655,-123.365643,48.468319,1655823526,1655824608,1655824541,1655824089,7.533333333,16.91666667,-9.383333333
54,54,59170116,DA,59170116,0.2352,464,219,210,464,-123.36389,48.464715,1655823645,1655824742,1655824670,1655824116,9.233333333,17.08333333,-7.85
55,55,59170117,DA,59170117,0.1121,400,224,216,400,-123.363114,48.461964,1655823375,1655824715,1655824644,1655823961,11.38333333,21.15,-9.766666667
56,56,59170118,DA,59170118,0.1917,573,244,227,573,-123.360274,48.458944,1655823033,1655824773,1655824704,1655824147,9.283333333,27.85,-18.56666667
57,57,59170119,DA,59170119,0.1609,521,225,215,521,-123.36641,48.458455,1655823496,1655824640,1655824569,1655823929,10.66666667,17.88333333,-7.216666667
58,58,59170120,DA,59170120,0.1102,533,245,234,533,-123.367232,48.455277,1655823264,1655824611,1655824553,1655823833,12,21.48333333,-9.483333333
59,59,59170121,DA,59170121,0.1355,528,232,220,528,-123.362544,48.455639,1655823074,1655824681,1655824612,1655823997,10.25,25.63333333,-15.38333333
60,60,59170122,DA,59170122,0.0894,1091,655,633,1091,-123.362122,48.453407,1655822773,1655824560,1655824505,1655823982,8.716666667,28.86666667,-20.15
