a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,Transit Time,Car Time,Bike Time
0.2207,0,DA,264,253,59151124,654,59151124,5915,5915015,9330143.03,59933,87.45,29.53333333,64.75
0.1002,0,DA,133,125,59151125,409,59151125,5915,5915015,9330143.03,59933,87.81666667,27.7,63.83333333
0.1502,0,DA,128,119,59151126,427,59151126,5915,5915015,9330143.03,59933,87.13333333,27.91666667,63.03333333
0.1375,0,DA,190,185,59151127,560,59151127,5915,5915015,9330143.03,59933,81.96666667,28.01666667,63.33333333
0.0999,0,DA,90,85,59151128,270,59151128,5915,5915015,9330143.03,59933,83.71666667,26.11666667,61.78333333
0.1411,0,DA,347,339,59151129,841,59151129,5915,5915015,9330143.03,59933,85.7,26.81666667,61.28333333
0.1394,0,DA,132,127,59151130,406,59151130,5915,5915015,9330143.03,59933,90.08333333,26.7,61.48333333
0.1928,0,DA,197,190,59151131,576,59151131,5915,5915015,9330145.01,59933,92.48333333,26.7,59.75
0.134,0,DA,187,185,59151132,554,59151132,5915,5915015,9330145.01,59933,85.68333333,26.83333333,60.4
0.2773,0,DA,291,279,59151133,794,59151133,5915,5915015,9330145.01,59933,84.06666667,26.76666667,59.78333333
0.2189,0,DA,276,263,59151134,781,59151134,5915,5915015,9330145.01,59933,79.36666667,27.83333333,60.55
0.0852,0,DA,703,691,59151135,1556,59151135,5915,5915015,9330147.05,59933,76.16666667,27.06666667,59.08333333
0.0827,0,DA,287,279,59151136,849,59151136,5915,5915015,9330147.05,59933,75.76666667,26.51666667,58.71666667
0.0786,0,DA,370,364,59151137,1038,59151137,5915,5915015,9330147.05,59933,76.13333333,26.38333333,58.13333333
0.083,0,DA,577,537,59151138,1085,59151138,5915,5915015,9330147.05,59933,76.66666667,27.43333333,58.23333333
0.0798,0,DA,564,547,59151139,961,59151139,5915,5915015,9330147.07,59933,71.55,24.81666667,57.41666667
0.1561,0,DA,870,817,59151141,1767,59151141,5915,5915015,9330147.12,59933,74.58333333,27.3,59.33333333
0.1009,0,DA,158,152,59151142,460,59151142,5915,5915015,9330147.12,59933,73.2,25.86666667,58.96666667
0.1047,0,DA,444,418,59151143,1014,59151143,5915,5915015,9330147.12,59933,73.66666667,25.31666667,59.08333333
0.0373,0,DA,347,340,59151145,660,59151145,5915,5915015,9330147.12,59933,77.15,26.5,59.31666667
0.0882,0,DA,675,652,59151146,1508,59151146,5915,5915015,9330147.04,59933,85.41666667,28.5,60.83333333
0.0774,0,DA,422,417,59151147,996,59151147,5915,5915015,9330147.04,59933,79.26666667,26.85,60.18333333
0.0814,0,DA,689,663,59151148,1180,59151148,5915,5915015,9330147.04,59933,79.03333333,26.65,60.06666667
0.0838,0,DA,691,674,59151149,1565,59151149,5915,5915015,9330147.04,59933,80.48333333,27.11666667,61.96666667
0.1918,0,DA,175,173,59151150,480,59151150,5915,5915015,9330145.01,59933,82.26666667,27.78333333,62.9
0.1632,0,DA,259,246,59151151,689,59151151,5915,5915015,9330145.02,59933,82.01666667,28.58333333,64.1
0.1616,0,DA,221,211,59151152,625,59151152,5915,5915015,9330145.02,59933,82.46666667,28.71666667,65.51666667
0.17,0,DA,212,209,59151153,655,59151153,5915,5915015,9330145.02,59933,93.11666667,30.16666667,66.81666667
0.0848,0,DA,111,108,59151154,358,59151154,5915,5915015,9330144.06,59933,92.56666667,29.91666667,67.98333333
0.1478,0,DA,318,313,59151155,840,59151155,5915,5915015,9330144.06,59933,85.21666667,30.33333333,67.45
0.1144,0,DA,143,129,59151156,415,59151156,5915,5915015,9330144.06,59933,81.96666667,29.25,66.45
0.1345,0,DA,180,174,59151157,566,59151157,5915,5915015,9330144.06,59933,83.05,29.9,67.73333333
0.1376,0,DA,146,140,59151158,405,59151158,5915,5915015,9330144.06,59933,85.8,30.46666667,69.4
0.1204,0,DA,132,127,59151159,498,59151159,5915,5915015,9330144.04,59933,86.5,31.41666667,70.85
0.2041,0,DA,259,247,59151160,840,59151160,5915,5915015,9330144.03,59933,96.08333333,31.16666667,74.05
0.1181,0,DA,204,197,59151161,612,59151161,5915,5915015,9330144.03,59933,89.55,31.25,74.51666667
0.1516,0,DA,143,135,59151162,398,59151162,5915,5915015,9330144.03,59933,89.21666667,30.73333333,75.28333333
0.2033,0,DA,230,221,59151163,703,59151163,5915,5915015,9330144.03,59933,89.15,31.88333333,74.03333333
0.2011,0,DA,302,286,59151164,927,59151164,5915,5915015,9330146,59933,91.26666667,31.4,76.66666667
0.0787,0,DA,114,108,59151165,365,59151165,5915,5915015,9330146,59933,94.95,31.88333333,76.58333333
