,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
17,59170051,DA,59170051,0.7642,847,349,327,847,-123.415251,48.632946,61.46666666666667,26.616666666666667,87.1
18,59170052,DA,59170052,1.6252,780,340,322,780,-123.414571,48.623898,59.11666666666667,28.25,88.93333333333334
19,59170053,DA,59170053,0.5586,576,208,204,576,-123.409379,48.614298,65.08333333333333,25.716666666666665,81.8
20,59170054,DA,59170054,0.4792,627,225,222,627,-123.423579,48.614778,60.4,28.516666666666666,86.21666666666667
21,59170055,DA,59170055,0.3249,419,183,179,419,-123.429961,48.614944,71.9,30.083333333333332,90.26666666666667
22,59170056,DA,59170056,2.0028,791,314,310,791,-123.43211,48.62356,71.71666666666667,30.116666666666667,89.58333333333333
23,59170063,DA,59170063,0.2873,499,297,287,499,-123.401797,48.589668,71.11666666666666,24.516666666666666,74.23333333333333
24,59170066,DA,59170066,2.3166,1291,711,656,1291,-123.388335,48.588432,69.13333333333334,25.933333333333334,75.08333333333333
25,59170070,DA,59170070,0.2559,577,223,214,577,-123.399622,48.56266,59.583333333333336,21.016666666666666,66.26666666666667
26,59170071,DA,59170071,0.3143,723,301,294,723,-123.397472,48.558075,55.4,20.283333333333335,63.083333333333336
27,59170072,DA,59170072,0.4229,830,307,288,830,-123.397472,48.552529,53.43333333333333,20.233333333333334,62.166666666666664
28,59170074,DA,59170074,1.4241,538,201,191,538,-123.385132,48.538821,43.15,18.466666666666665,53.45
29,59170075,DA,59170075,3.0369,563,264,252,563,-123.371573,48.538912,56.68333333333333,19.55,54.86666666666667
30,59170076,DA,59170076,0.9129,1483,650,624,1483,-123.377501,48.523664,55.88333333333333,19.416666666666668,51.28333333333333
31,59170077,DA,59170077,0.6082,779,299,288,779,-123.381907,48.522919,50.733333333333334,18.85,49.56666666666667
32,59170079,DA,59170079,0.4405,636,229,223,636,-123.377832,48.516475,43.4,16.716666666666665,46.71666666666667
33,59170081,DA,59170081,0.2718,526,236,219,526,-123.366407,48.517787,45.3,18.95,46.05
34,59170082,DA,59170082,0.3294,675,331,324,675,-123.369823,48.523219,48.21666666666667,20.45,48.916666666666664
35,59170084,DA,59170084,0.5198,672,273,259,672,-123.353686,48.506333,46.13333333333333,19.416666666666668,42.55
36,59170085,DA,59170085,0.2832,688,260,257,688,-123.358613,48.505147,46.68333333333333,18.133333333333333,41.016666666666666
37,59170094,DA,59170094,0.9114,746,397,389,746,-123.379129,48.492219,50.766666666666666,17.083333333333332,36.93333333333333
38,59170095,DA,59170095,0.3813,1312,709,679,1312,-123.390904,48.495617,38.31666666666667,16.066666666666666,40.55
39,59170096,DA,59170096,0.4549,968,434,423,968,-123.389859,48.489123,39.75,14.966666666666667,38.85
40,59170097,DA,59170097,0.2218,624,228,221,624,-123.395557,48.492634,44.88333333333333,17.366666666666667,38.583333333333336
41,59170098,DA,59170098,2.2321,459,170,166,459,-123.409709,48.502031,50.483333333333334,17.483333333333334,45.88333333333333
42,59170100,DA,59170100,0.2577,630,221,215,630,-123.399901,48.486001,44.05,14.983333333333333,36.1
43,59170101,DA,59170101,0.3993,970,351,340,970,-123.40305,48.481535,42.65,15.516666666666667,33.75
44,59170102,DA,59170102,0.3608,800,300,290,800,-123.395961,48.478797,41.11666666666667,14.45,29.633333333333333
45,59170103,DA,59170103,0.3787,871,307,301,871,-123.395715,48.485992,40.68333333333333,15.45,36.46666666666667
46,59170104,DA,59170104,0.2392,280,114,110,280,-123.389512,48.486164,40.1,15.183333333333334,37.9
47,59170105,DA,59170105,0.2379,625,228,220,625,-123.383647,48.483816,36.93333333333333,15.4,31.133333333333333
48,59170106,DA,59170106,0.2064,621,228,218,621,-123.381798,48.480204,37.05,15.133333333333333,31.116666666666667
49,59170111,DA,59170111,0.2146,450,164,158,450,-123.370731,48.478207,35.05,15.583333333333334,28.366666666666667
50,59170112,DA,59170112,0.151,445,178,166,445,-123.369493,48.475018,32.81666666666667,14.1,29.816666666666666
51,59170113,DA,59170113,0.1851,476,218,210,476,-123.365089,48.472467,35.1,14.383333333333333,28.933333333333334
52,59170114,DA,59170114,0.141,1163,675,646,1163,-123.368985,48.470746,33.6,13.95,25.066666666666666
53,59170115,DA,59170115,0.1814,655,344,321,655,-123.365643,48.468319,37.06666666666667,13.9,25.65
54,59170116,DA,59170116,0.2352,464,219,210,464,-123.36389,48.464715,29.716666666666665,12.516666666666667,27.45
55,59170117,DA,59170117,0.1121,400,224,216,400,-123.363114,48.461964,30.75,11.633333333333333,22.816666666666666
56,59170118,DA,59170118,0.1917,573,244,227,573,-123.360274,48.458944,24.45,10.783333333333333,22.0
57,59170119,DA,59170119,0.1609,521,225,215,521,-123.36641,48.458455,25.733333333333334,10.95,22.033333333333335
58,59170120,DA,59170120,0.1102,533,245,234,533,-123.367232,48.455277,33.18333333333333,9.783333333333333,20.766666666666666
59,59170121,DA,59170121,0.1355,528,232,220,528,-123.362544,48.455639,27.483333333333334,9.716666666666667,21.116666666666667
60,59170122,DA,59170122,0.0894,1091,655,633,1091,-123.362122,48.453407,25.316666666666666,9.966666666666667,21.1
61,59170123,DA,59170123,0.1066,499,307,301,499,-123.360078,48.451262,22.3,9.866666666666667,21.933333333333334
62,59170124,DA,59170124,0.0531,685,447,432,685,-123.362457,48.450407,26.55,9.366666666666667,21.133333333333333
63,59170125,DA,59170125,0.115,820,454,440,820,-123.365692,48.450286,26.033333333333335,8.65,19.683333333333334
64,59170126,DA,59170126,0.142,583,247,239,583,-123.361969,48.447695,22.0,8.283333333333333,11.8
65,59170127,DA,59170127,0.5252,673,331,309,673,-123.362337,48.444912,22.083333333333332,8.466666666666667,11.033333333333333
66,59170128,DA,59170128,0.2309,552,249,238,552,-123.354123,48.446155,22.1,9.25,13.383333333333333
67,59170129,DA,59170129,0.1498,534,257,243,534,-123.353836,48.448468,27.933333333333334,9.333333333333334,16.3
68,59170130,DA,59170130,0.1691,778,358,340,778,-123.34706,48.447154,26.6,9.883333333333333,19.0
69,59170131,DA,59170131,0.1605,650,282,274,650,-123.343185,48.446459,24.033333333333335,10.033333333333333,17.85
70,59170132,DA,59170132,0.1058,517,271,243,517,-123.347581,48.442504,19.066666666666666,9.0,12.15
71,59170133,DA,59170133,0.087,703,295,278,703,-123.344368,48.442426,19.633333333333333,10.1,15.733333333333333
72,59170134,DA,59170134,0.1186,662,284,271,662,-123.349596,48.43971,21.45,8.9,11.666666666666666
73,59170135,DA,59170135,0.1473,500,215,209,500,-123.342272,48.439048,22.166666666666668,9.5,13.516666666666667
74,59170136,DA,59170136,0.1132,517,239,229,517,-123.346767,48.43668,24.166666666666668,8.116666666666667,12.816666666666666
75,59170137,DA,59170137,0.1183,493,217,202,493,-123.34292,48.436014,28.366666666666667,8.133333333333333,12.716666666666667
76,59170138,DA,59170138,0.1188,476,200,181,476,-123.339382,48.436585,26.1,9.133333333333333,13.516666666666667
77,59170139,DA,59170139,0.0989,553,233,228,553,-123.341048,48.432858,25.966666666666665,7.65,11.433333333333334
78,59170140,DA,59170140,0.0964,541,248,233,541,-123.343846,48.431582,21.416666666666668,6.916666666666667,10.25
79,59170141,DA,59170141,0.0757,615,332,317,615,-123.346778,48.433297,23.466666666666665,7.15,9.966666666666667
80,59170142,DA,59170142,0.1145,583,322,305,583,-123.350238,48.433214,22.433333333333334,6.633333333333334,9.0
81,59170143,DA,59170143,0.1778,463,234,209,463,-123.349891,48.430011,16.683333333333334,5.716666666666667,7.9
82,59170144,DA,59170144,0.1527,670,387,368,670,-123.354748,48.4319,18.55,5.733333333333333,8.216666666666667
83,59170145,DA,59170145,0.0657,417,236,214,417,-123.3553,48.434434,19.15,5.85,8.916666666666666
84,59170146,DA,59170146,0.0977,652,358,340,652,-123.356286,48.43647,19.5,6.583333333333333,10.316666666666666
85,59170147,DA,59170147,0.0421,447,303,287,447,-123.358965,48.435797,19.333333333333332,6.916666666666667,8.483333333333333
86,59170148,DA,59170148,0.0567,401,242,231,401,-123.360437,48.435831,18.0,5.133333333333334,6.95
87,59170149,DA,59170149,0.0841,671,225,218,671,-123.361729,48.437435,17.0,6.25,7.666666666666667
88,59170150,DA,59170150,0.2251,753,309,245,753,-123.364617,48.438893,10.216666666666667,5.866666666666666,6.966666666666667
89,59170151,DA,59170151,0.1057,585,331,314,585,-123.36155,48.440671,21.6,8.466666666666667,10.083333333333334
90,59170152,DA,59170152,0.0527,534,250,231,534,-123.358689,48.440958,16.1,7.483333333333333,10.266666666666667
91,59170153,DA,59170153,0.0657,740,436,424,740,-123.356403,48.438796,14.866666666666667,7.0,9.966666666666667
92,59170154,DA,59170154,0.1353,560,262,247,560,-123.356338,48.442266,17.466666666666665,7.783333333333333,10.816666666666666
93,59170155,DA,59170155,0.0974,649,359,341,649,-123.352915,48.438197,16.65,7.716666666666667,10.316666666666666
94,59170156,DA,59170156,0.1436,609,314,300,609,-123.351449,48.442667,20.15,8.9,12.866666666666667
95,59170157,DA,59170157,0.1059,480,217,209,480,-123.350538,48.436556,21.1,7.55,11.866666666666667
96,59170161,DA,59170161,0.0401,631,437,419,631,-123.359216,48.429511,12.333333333333334,3.7,4.55
97,59170162,DA,59170162,0.104,827,565,533,827,-123.355059,48.42841,14.633333333333333,4.55,5.75
98,59170163,DA,59170163,0.0789,1071,877,678,1071,-123.357863,48.42571,12.466666666666667,2.716666666666667,4.233333333333333
99,59170164,DA,59170164,0.0816,1404,1011,912,1404,-123.355074,48.425295,13.333333333333334,3.3333333333333335,4.766666666666667
100,59170165,DA,59170165,0.0594,527,347,336,527,-123.351726,48.424039,17.05,4.533333333333333,4.966666666666667
101,59170166,DA,59170166,0.0766,593,461,355,593,-123.350966,48.425549,14.866666666666667,5.3,5.616666666666666
102,59170167,DA,59170167,0.0458,493,280,273,493,-123.351701,48.428013,14.2,5.05,6.633333333333334
103,59170168,DA,59170168,0.0446,479,293,286,479,-123.348698,48.427231,13.25,4.916666666666667,6.6
104,59170169,DA,59170169,0.0606,508,262,246,508,-123.347638,48.427971,16.1,5.766666666666667,8.05
