GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y
59170281,DA,59170281,0.0718,889,658,617,889,-123.355869,48.422014
59170282,DA,59170282,0.1096,614,443,419,614,-123.359038,48.421335
59170285,DA,59170285,0.059,628,443,416,628,-123.356685,48.41866
59170286,DA,59170286,0.0583,573,384,371,573,-123.357793,48.416398
59170287,DA,59170287,0.0527,535,362,344,535,-123.354033,48.416668
59170288,DA,59170288,0.0812,631,409,388,631,-123.352153,48.41501
59170289,DA,59170289,0.086,563,353,337,563,-123.352802,48.41831
59170290,DA,59170290,0.1119,614,357,337,614,-123.356076,48.413322
59170291,DA,59170291,0.1206,532,257,239,532,-123.351162,48.412273
59170292,DA,59170292,0.1274,523,243,227,523,-123.355069,48.410263
59170293,DA,59170293,0.1557,508,254,243,508,-123.353288,48.408274
59170294,DA,59170294,0.1483,586,296,273,586,-123.348549,48.40904
59170295,DA,59170295,0.8021,670,497,469,670,-123.359214,48.414756
59170296,DA,59170296,0.0561,727,510,467,727,-123.367507,48.41454
59170297,DA,59170297,0.0389,539,420,369,539,-123.367143,48.416558
59170298,DA,59170298,0.2941,1021,598,560,1021,-123.370185,48.418392
59170299,DA,59170299,0.055,464,276,256,464,-123.370903,48.414813
59170300,DA,59170300,0.092,526,334,309,526,-123.372453,48.413486
59170301,DA,59170301,0.0293,412,286,278,412,-123.37471,48.412744
59170302,DA,59170302,0.1088,571,304,288,571,-123.375281,48.411758
59170303,DA,59170303,0.096,669,409,393,669,-123.378123,48.413794
59170304,DA,59170304,0.0314,541,330,316,541,-123.375576,48.414978
59170305,DA,59170305,0.0568,674,449,437,674,-123.377722,48.41604
59170308,DA,59170308,0.0387,511,357,329,511,-123.37464,48.418323
59170309,DA,59170309,0.076,734,413,398,734,-123.379103,48.419122
59170310,DA,59170310,0.0563,325,167,157,325,-123.381186,48.42057
59170311,DA,59170311,0.2083,1188,828,720,1188,-123.377526,48.421707
59170312,DA,59170312,0.3174,833,426,399,833,-123.384376,48.419053
59170313,DA,59170313,0.1557,622,354,344,622,-123.382517,48.416535
59170314,DA,59170314,0.2062,788,479,461,788,-123.396659,48.428627
59170315,DA,59170315,0.2367,426,190,181,426,-123.402802,48.42472
59170316,DA,59170316,0.1057,509,272,260,509,-123.401736,48.428478
59170317,DA,59170317,0.1064,811,526,509,811,-123.403086,48.431099
59170318,DA,59170318,0.1773,555,299,288,555,-123.406745,48.428494
59170319,DA,59170319,0.1546,720,431,422,720,-123.40888,48.431102
59170320,DA,59170320,0.2151,529,275,268,529,-123.406903,48.434328
59170321,DA,59170321,0.1864,568,236,229,568,-123.415918,48.434127
59170322,DA,59170322,0.2002,477,189,186,477,-123.410142,48.436563
59170323,DA,59170323,0.5805,332,219,201,332,-123.422839,48.431629
59170324,DA,59170324,0.0885,593,308,295,593,-123.416414,48.431338
59170325,DA,59170325,0.1057,610,407,350,610,-123.417083,48.429132
59170326,DA,59170326,0.1673,592,253,240,592,-123.414281,48.426524
59170327,DA,59170327,0.1091,529,245,238,529,-123.40786,48.426073
59170328,DA,59170328,0.3142,601,259,249,601,-123.410161,48.423078
59170331,DA,59170331,0.4687,745,401,390,745,-123.432327,48.446976
59170332,DA,59170332,0.2165,120,41,39,120,-123.429066,48.444088
59170335,DA,59170335,0.1023,636,328,313,636,-123.422414,48.449332
59170336,DA,59170336,0.543,1190,510,493,1190,-123.404363,48.444978
59170337,DA,59170337,0.2282,526,235,219,526,-123.407246,48.451123
59170338,DA,59170338,0.2314,653,265,259,653,-123.412285,48.453471
59170339,DA,59170339,0.2041,476,216,210,476,-123.408493,48.456076
59170343,DA,59170343,0.2118,490,208,203,490,-123.404416,48.46643
59170344,DA,59170344,0.2217,467,178,172,467,-123.397304,48.467764
59170345,DA,59170345,0.286,455,186,179,455,-123.405421,48.469712
59170346,DA,59170346,0.6195,455,201,198,455,-123.403761,48.476396
59170347,DA,59170347,0.2091,556,203,197,556,-123.394222,48.475406
59170348,DA,59170348,0.1793,575,220,215,575,-123.393601,48.472417
59170349,DA,59170349,0.4945,961,352,344,961,-123.386172,48.471993
59170350,DA,59170350,0.1226,445,161,160,445,-123.388193,48.476234
59170351,DA,59170351,0.2091,527,198,193,527,-123.391584,48.468329
59170352,DA,59170352,0.3454,907,380,358,907,-123.385067,48.46718
59170353,DA,59170353,0.1926,921,372,362,921,-123.389756,48.464244
59170354,DA,59170354,0.0948,317,136,132,317,-123.393817,48.466121
59170357,DA,59170357,0.167,518,221,208,518,-123.389412,48.456089
59170359,DA,59170359,0.1171,465,176,170,465,-123.387911,48.45289
59170360,DA,59170360,0.1626,571,235,225,571,-123.383554,48.451257
59170361,DA,59170361,0.1707,829,405,383,829,-123.392207,48.451721
59170362,DA,59170362,0.177,662,313,303,662,-123.389079,48.448153
59170363,DA,59170363,0.1802,748,359,346,748,-123.395852,48.449071
59170364,DA,59170364,0.1044,688,357,346,688,-123.391863,48.445857
59170365,DA,59170365,0.1066,499,314,306,499,-123.392939,48.44455
59170366,DA,59170366,0.1287,755,354,345,755,-123.399513,48.445246
59170367,DA,59170367,0.0557,674,361,351,674,-123.395714,48.440999
59170368,DA,59170368,0.1354,605,354,295,605,-123.399611,48.440669
59170369,DA,59170369,0.1752,512,242,232,512,-123.395954,48.438905
59170370,DA,59170370,0.0962,523,267,263,523,-123.396278,48.436582
59170371,DA,59170371,0.1228,556,224,220,556,-123.391623,48.434098
59170372,DA,59170372,0.1008,495,222,211,495,-123.391032,48.437075
59170373,DA,59170373,0.106,457,202,195,457,-123.387884,48.434769
59170375,DA,59170375,0.1065,467,211,201,467,-123.384664,48.434107
59170376,DA,59170376,0.1447,608,346,321,608,-123.388411,48.431703
59170378,DA,59170378,0.0752,599,433,424,599,-123.3927,48.43057
59170379,DA,59170379,0.0781,456,262,238,456,-123.397289,48.430933
59170380,DA,59170380,0.3032,800,406,389,800,-123.399934,48.433395
59170383,DA,59170383,0.6162,1126,515,486,1126,-123.373728,48.438738
59170384,DA,59170384,0.1651,586,307,291,586,-123.373044,48.441413
59170385,DA,59170385,0.2902,447,242,225,447,-123.374109,48.444473
59170386,DA,59170386,0.1269,727,346,332,727,-123.37908,48.443971
59170387,DA,59170387,0.0705,463,240,228,463,-123.381654,48.445286
59170388,DA,59170388,0.112,511,217,207,511,-123.383065,48.446636
59170389,DA,59170389,0.1622,699,382,365,699,-123.387153,48.445523
59170390,DA,59170390,0.1474,1320,743,731,1320,-123.386032,48.44236
59170392,DA,59170392,0.4027,780,399,386,780,-123.37011,48.452216
59170393,DA,59170393,0.2993,491,299,285,491,-123.373811,48.458314
59170396,DA,59170396,0.2797,697,276,262,697,-123.385406,48.460813
59170397,DA,59170397,0.4741,671,271,258,671,-123.375172,48.46601
59170399,DA,59170399,0.3602,601,244,234,601,-123.371747,48.460908
59170402,DA,59170402,0.263,553,253,248,553,-123.404567,48.438868
59170403,DA,59170403,0.9107,746,374,355,746,-123.416901,48.441512
59170404,DA,59170404,0.1081,467,227,212,467,-123.422307,48.438571
59170405,DA,59170405,0.0896,368,186,184,368,-123.426525,48.439129
59170406,DA,59170406,0.1608,519,233,226,519,-123.400108,48.450273
59170407,DA,59170407,0.1845,634,269,259,634,-123.403302,48.452816
59170408,DA,59170408,0.5393,1401,536,526,1401,-123.412974,48.466727
59170409,DA,59170409,0.4371,946,396,383,946,-123.417832,48.469586
59170410,DA,59170410,0.4219,612,205,201,612,-123.418267,48.475394
59170413,DA,59170413,0.4564,871,389,368,871,-123.425171,48.465686
59170414,DA,59170414,0.75,1297,565,549,1297,-123.433396,48.463779
59170415,DA,59170415,0.6515,1296,576,547,1296,-123.431465,48.455439
59170416,DA,59170416,0.0769,289,122,121,289,-123.427694,48.451423
59170417,DA,59170417,0.2312,668,365,349,668,-123.438075,48.454132
59170418,DA,59170418,0.1326,344,135,126,344,-123.440604,48.4582
59170419,DA,59170419,0.5661,904,330,315,904,-123.445424,48.459372
59170421,DA,59170421,0.5883,1093,535,513,1093,-123.452514,48.459009
59170422,DA,59170422,2.3143,689,281,270,689,-123.463738,48.438617
59170423,DA,59170423,0.0848,368,116,115,368,-123.457606,48.43692
59170424,DA,59170424,0.0935,327,134,131,327,-123.462404,48.437062
59170425,DA,59170425,2.7978,349,166,153,349,-123.476524,48.435476
59170426,DA,59170426,1.1864,1245,541,524,1245,-123.474152,48.444722
59170427,DA,59170427,0.5856,1500,623,611,1500,-123.482095,48.448229
59170428,DA,59170428,0.3203,1022,378,367,1022,-123.489202,48.451639
59170429,DA,59170429,0.2245,1060,571,489,1060,-123.496337,48.449899
59170430,DA,59170430,0.3945,1322,499,484,1322,-123.494367,48.454822
59170431,DA,59170431,0.2767,1853,868,834,1853,-123.501995,48.45262
59170432,DA,59170432,0.3627,2576,1360,1319,2576,-123.502368,48.447889
59170433,DA,59170433,0.1818,460,192,186,460,-123.510335,48.449047
59170435,DA,59170435,0.195,708,323,312,708,-123.514135,48.446935
59170437,DA,59170437,0.799,1324,647,618,1324,-123.511928,48.452233
59170438,DA,59170438,1.9835,1691,755,707,1691,-123.518488,48.460068
59170439,DA,59170439,0.9278,1804,745,717,1804,-123.504509,48.46038
59170440,DA,59170440,0.5323,1419,647,624,1419,-123.497703,48.46414
59170441,DA,59170441,0.1361,355,134,134,355,-123.489473,48.466601
59170442,DA,59170442,0.3494,928,338,331,928,-123.48964,48.463138
59170443,DA,59170443,1.452,1109,414,394,1109,-123.493968,48.471957
59170444,DA,59170444,1.4508,2376,931,897,2376,-123.479146,48.454178
59170451,DA,59170451,0.3543,463,176,171,463,-123.456953,48.565356
59170452,DA,59170452,0.8581,620,217,215,620,-123.451059,48.569832
59170453,DA,59170453,0.197,534,226,219,534,-123.448892,48.573433
59170454,DA,59170454,0.2205,516,231,227,516,-123.453028,48.574882
59170455,DA,59170455,0.2557,737,344,329,737,-123.454291,48.577815
59170456,DA,59170456,0.2603,676,284,273,676,-123.460817,48.574442
59170457,DA,59170457,0.1499,392,177,162,392,-123.462892,48.578773
59170458,DA,59170458,2.0887,712,251,237,712,-123.459667,48.583131
59170463,DA,59170463,3.5692,595,235,228,595,-123.434799,48.542239
59170464,DA,59170464,4.0285,425,181,172,425,-123.408058,48.544086
59170466,DA,59170466,2.6923,517,208,201,517,-123.424013,48.521136
59170468,DA,59170468,0.2938,632,288,283,632,-123.390991,48.499517
59170469,DA,59170469,2.6478,545,224,218,545,-123.434339,48.510526
59170470,DA,59170470,8.408,730,288,273,730,-123.433012,48.489108
59170471,DA,59170471,10.8568,579,228,224,579,-123.453141,48.52026
59170472,DA,59170472,11.0259,4739,2054,1918,4739,-123.522272,48.470444
59170473,DA,59170473,0.0663,0,0,0,0,-123.546457,48.485924
59170475,DA,59170475,0.2707,518,234,230,518,-123.556938,48.457002
59170476,DA,59170476,0.2065,573,205,196,573,-123.549791,48.456976
59170478,DA,59170478,9.7516,2425,934,888,2425,-123.541746,48.427266
59170479,DA,59170479,0.5478,412,161,153,412,-123.533218,48.435274
59170480,DA,59170480,0.3957,1563,605,581,1563,-123.532243,48.428338
59170481,DA,59170481,0.2919,1152,468,458,1152,-123.52206,48.431111
59170482,DA,59170482,0.7537,2746,1392,1317,2746,-123.51917,48.438771
59170483,DA,59170483,0.1476,377,155,151,377,-123.517793,48.440375
59170484,DA,59170484,0.757,1174,492,478,1174,-123.506961,48.434281
59170485,DA,59170485,0.5399,725,279,271,725,-123.511089,48.429339
59170488,DA,59170488,0.2688,763,290,286,763,-123.492265,48.430805
59170489,DA,59170489,0.356,947,399,386,947,-123.490334,48.435173
59170490,DA,59170490,0.2059,506,213,209,506,-123.497388,48.435378
59170491,DA,59170491,0.556,985,397,385,985,-123.490296,48.439235
59170492,DA,59170492,0.201,501,179,177,501,-123.497587,48.441429
59170493,DA,59170493,0.7545,1253,581,551,1253,-123.497831,48.445126
59170494,DA,59170494,0.1327,355,128,127,355,-123.490678,48.422921
59170495,DA,59170495,0.2194,502,200,196,502,-123.488079,48.420572
59170498,DA,59170498,0.1554,427,168,162,427,-123.49856,48.41955
59170501,DA,59170501,2.4549,3643,1350,1295,3643,-123.524985,48.42238
59170502,DA,59170502,1.6305,1667,658,620,1667,-123.521352,48.410455
59170507,DA,59170507,0.6077,731,340,330,731,-123.475149,48.420873
59170544,DA,59170544,2.8179,266,90,86,266,-123.457654,48.623058
59170545,DA,59170545,5.9755,998,481,464,998,-123.432526,48.665732
59170546,DA,59170546,0.4896,783,387,376,783,-123.412489,48.65868
59170547,DA,59170547,0.2894,109,48,40,109,-123.449008,48.664623
59170548,DA,59170548,1.2387,652,338,307,652,-123.475405,48.68019
59170549,DA,59170549,1.939,834,343,335,834,-123.472042,48.675266
59170550,DA,59170550,2.1991,527,222,210,527,-123.466187,48.685868
59170551,DA,59170551,1.7283,516,208,199,516,-123.44872,48.683304
